NIK,Nama,Tanggal_Lahir,email,username,first_name,last_name
5242786801128059,"Lalita Megantara, M.M.",1967-09-04,lalita.megantara@example.go.id,lalita.megantara,Lalita,"Megantara, M.M."
8262045053315869,"Vera Santoso, S.E.I",2002-08-31,vera.santoso@example.go.id,vera.santoso,Vera,"Santoso, S.E.I"
2322602563421607,"Maimunah Wibowo, M.TI.",1995-02-13,maimunah.wibowo@example.go.id,maimunah.wibowo,Maimunah,"Wibowo, M.TI."
3375433036541458,Lukman Rahimah,2007-03-16,lukman.rahimah@example.go.id,lukman.rahimah,Lukman,Rahimah
6850142940196556,Ophelia Wijaya,1983-12-20,ophelia.wijaya@example.go.id,ophelia.wijaya,Ophelia,Wijaya
9816934060883561,H. Nalar Januar,1983-05-18,h..nalar@example.go.id,h..nalar,H.,Nalar Januar
5951484656482366,Muni Pradana,1982-02-17,muni.pradana@example.go.id,muni.pradana,Muni,Pradana
2994680443699577,Dr. Rika Natsir,1967-07-04,dr..rika@example.go.id,dr..rika,Dr.,Rika Natsir
7387214895134332,"Aswani Prasasta, S.Farm",1966-10-01,aswani.prasasta@example.go.id,aswani.prasasta,Aswani,"Prasasta, S.Farm"
0037917693676320,"Dr. Ikhsan Pertiwi, S.Kom",1980-03-02,dr..ikhsan@example.go.id,dr..ikhsan,Dr.,"Ikhsan Pertiwi, S.Kom"
1632870831727889,Melinda Padmasari,1952-01-15,melinda.padmasari@example.go.id,melinda.padmasari,Melinda,Padmasari
5798687277434873,Ganep Hastuti,2006-09-15,ganep.hastuti@example.go.id,ganep.hastuti,Ganep,Hastuti
4714345581223623,Daru Nasyiah,1992-03-10,daru.nasyiah@example.go.id,daru.nasyiah,Daru,Nasyiah
1665876036690967,R. Puput Aryani,1978-07-03,r..puput@example.go.id,r..puput,R.,Puput Aryani
0546688937346706,Drs. Darman Rajasa,1952-10-27,drs..darman@example.go.id,drs..darman,Drs.,Darman Rajasa
5627298069901627,"Fathonah Wastuti, S.Ked",1988-02-01,fathonah.wastuti@example.go.id,fathonah.wastuti,Fathonah,"Wastuti, S.Ked"
2046537556464170,Sadina Sudiati,1998-01-26,sadina.sudiati@example.go.id,sadina.sudiati,Sadina,Sudiati
8053100330923271,dr. Dwi Samosir,1991-12-27,dr..dwi@example.go.id,dr..dwi,dr.,Dwi Samosir
9374529912419049,"T. Umaya Prayoga, S.Psi",1993-02-22,t..umaya@example.go.id,t..umaya,T.,"Umaya Prayoga, S.Psi"
6631931491905865,KH. Gading Mardhiyah,1977-07-27,kh..gading@example.go.id,kh..gading,KH.,Gading Mardhiyah
1850671657262849,"dr. Melinda Jailani, S.Pd",1977-09-05,dr..melinda@example.go.id,dr..melinda,dr.,"Melinda Jailani, S.Pd"
8776945314737996,Puti Samiah Kusmawati,1996-04-01,puti.samiah@example.go.id,puti.samiah,Puti,Samiah Kusmawati
5075273545494808,"T. Irfan Hutasoit, S.Gz",1952-01-14,t..irfan@example.go.id,t..irfan,T.,"Irfan Hutasoit, S.Gz"
3136783777014363,Vinsen Kuswandari,1961-01-21,vinsen.kuswandari@example.go.id,vinsen.kuswandari,Vinsen,Kuswandari
4957885685574443,Icha Kurniawan,1945-08-04,icha.kurniawan@example.go.id,icha.kurniawan,Icha,Kurniawan
1351823374989413,Hesti Suartini,1997-06-16,hesti.suartini@example.go.id,hesti.suartini,Hesti,Suartini
4352408240084271,"Cut Faizah Wahyuni, M.Ak",1955-10-02,cut.faizah@example.go.id,cut.faizah,Cut,"Faizah Wahyuni, M.Ak"
0947775204711671,"KH. Lutfan Putra, S.Gz",1957-11-12,kh..lutfan@example.go.id,kh..lutfan,KH.,"Lutfan Putra, S.Gz"
9022941318699938,Cornelia Oktaviani,2004-02-03,cornelia.oktaviani@example.go.id,cornelia.oktaviani,Cornelia,Oktaviani
6774964990913341,Liman Sitorus,1949-06-15,liman.sitorus@example.go.id,liman.sitorus,Liman,Sitorus
2328120679740344,Keisha Yolanda,1948-02-10,keisha.yolanda@example.go.id,keisha.yolanda,Keisha,Yolanda
7134936183242102,Calista Iswahyudi,1997-07-31,calista.iswahyudi@example.go.id,calista.iswahyudi,Calista,Iswahyudi
4994717464887719,Yulia Latupono,1976-03-29,yulia.latupono@example.go.id,yulia.latupono,Yulia,Latupono
0659401399049027,"drg. Gading Yolanda, S.T.",1962-09-05,drg..gading@example.go.id,drg..gading,drg.,"Gading Yolanda, S.T."
8742967175655125,Kairav Gunawan,1976-04-19,kairav.gunawan@example.go.id,kairav.gunawan,Kairav,Gunawan
6746807154516808,Ajeng Tamba,1947-07-08,ajeng.tamba@example.go.id,ajeng.tamba,Ajeng,Tamba
7603859770348247,Tgk. Pranata Pradipta,2004-03-14,tgk..pranata@example.go.id,tgk..pranata,Tgk.,Pranata Pradipta
7109324808613171,"Hartana Situmorang, S.Pd",1955-03-28,hartana.situmorang@example.go.id,hartana.situmorang,Hartana,"Situmorang, S.Pd"
2748467737826398,Jane Wijayanti,1959-05-10,jane.wijayanti@example.go.id,jane.wijayanti,Jane,Wijayanti
2146584044997278,Drs. Olga Hariyah,1949-01-31,drs..olga@example.go.id,drs..olga,Drs.,Olga Hariyah
7558867533963605,Eka Hastuti,1970-05-16,eka.hastuti@example.go.id,eka.hastuti,Eka,Hastuti
7662702895171870,Yuni Hariyah,2001-01-07,yuni.hariyah@example.go.id,yuni.hariyah,Yuni,Hariyah
2621745961586578,Dr. Talia Suryatmi,2006-05-12,dr..talia@example.go.id,dr..talia,Dr.,Talia Suryatmi
0913431611724005,Rika Wijayanti,1974-10-16,rika.wijayanti@example.go.id,rika.wijayanti,Rika,Wijayanti
0455623869222196,"R.A. Hesti Rajasa, S.Ked",1963-05-06,r.a..hesti@example.go.id,r.a..hesti,R.A.,"Hesti Rajasa, S.Ked"
9379237474074821,"Lantar Siregar, S.IP",1950-04-14,lantar.siregar@example.go.id,lantar.siregar,Lantar,"Siregar, S.IP"
7594647436713695,Setya Agustina,1961-11-29,setya.agustina@example.go.id,setya.agustina,Setya,Agustina
9440640909743953,H. Tirta Susanti,2006-09-14,h..tirta@example.go.id,h..tirta,H.,Tirta Susanti
3942104709521456,Novi Wahyuni,1989-08-22,novi.wahyuni@example.go.id,novi.wahyuni,Novi,Wahyuni
2328588424745171,"Sidiq Mayasari, S.Farm",1997-05-31,sidiq.mayasari@example.go.id,sidiq.mayasari,Sidiq,"Mayasari, S.Farm"
2368516048175496,"Jaka Saptono, M.Pd",1981-09-16,jaka.saptono@example.go.id,jaka.saptono,Jaka,"Saptono, M.Pd"
5137098593174612,"Mila Natsir, M.M.",2001-06-17,mila.natsir@example.go.id,mila.natsir,Mila,"Natsir, M.M."
0047113826758692,Elvina Mandala,1985-09-28,elvina.mandala@example.go.id,elvina.mandala,Elvina,Mandala
6179640537735158,Galih Mayasari,1987-09-26,galih.mayasari@example.go.id,galih.mayasari,Galih,Mayasari
5064317139005329,Praba Budiman,1998-09-02,praba.budiman@example.go.id,praba.budiman,Praba,Budiman
3183933529042284,Ir. Victoria Prasetyo,1987-11-11,ir..victoria@example.go.id,ir..victoria,Ir.,Victoria Prasetyo
2102053950240268,"Ana Permadi, S.Pd",1975-05-17,ana.permadi@example.go.id,ana.permadi,Ana,"Permadi, S.Pd"
1177589178390847,Damu Situmorang,1981-12-23,damu.situmorang@example.go.id,damu.situmorang,Damu,Situmorang
0076617711592124,Hafshah Laksmiwati,1964-09-19,hafshah.laksmiwati@example.go.id,hafshah.laksmiwati,Hafshah,Laksmiwati
9985698478961183,Ami Kuswandari,1990-12-20,ami.kuswandari@example.go.id,ami.kuswandari,Ami,Kuswandari
6736576615654527,Ega Utama,1967-03-12,ega.utama@example.go.id,ega.utama,Ega,Utama
1111615280988516,Karma Fujiati,1986-08-31,karma.fujiati@example.go.id,karma.fujiati,Karma,Fujiati
5604945198327315,Cindy Farida,1960-01-28,cindy.farida@example.go.id,cindy.farida,Cindy,Farida
8514936899809402,"Bagya Padmasari, M.Farm",1991-10-06,bagya.padmasari@example.go.id,bagya.padmasari,Bagya,"Padmasari, M.Farm"
4455022961201836,Ellis Mansur,1986-05-18,ellis.mansur@example.go.id,ellis.mansur,Ellis,Mansur
6752545991022901,Dr. Padmi Sihombing,1985-11-16,dr..padmi@example.go.id,dr..padmi,Dr.,Padmi Sihombing
4767976438156149,R. Nadia Utami,1983-06-06,r..nadia@example.go.id,r..nadia,R.,Nadia Utami
7840369003432445,"KH. Naradi Hidayat, S.Sos",1945-09-08,kh..naradi@example.go.id,kh..naradi,KH.,"Naradi Hidayat, S.Sos"
1076226838851606,Marwata Hasanah,1989-06-25,marwata.hasanah@example.go.id,marwata.hasanah,Marwata,Hasanah
0715969664160529,drg. Sidiq Narpati,1986-09-01,drg..sidiq@example.go.id,drg..sidiq,drg.,Sidiq Narpati
7516136968164535,KH. Argono Hutasoit,2008-04-14,kh..argono@example.go.id,kh..argono,KH.,Argono Hutasoit
2181883552312432,"Dt. Kariman Mangunsong, M.Pd",1957-06-09,dt..kariman@example.go.id,dt..kariman,Dt.,"Kariman Mangunsong, M.Pd"
9212779979955271,Daryani Manullang,1980-05-18,daryani.manullang@example.go.id,daryani.manullang,Daryani,Manullang
7744905814770054,Kayla Tamba,1949-05-22,kayla.tamba@example.go.id,kayla.tamba,Kayla,Tamba
1199867980793597,R.A. Vicky Maryati,1970-07-26,r.a..vicky@example.go.id,r.a..vicky,R.A.,Vicky Maryati
8207151820377889,Nasrullah Firmansyah,1996-05-09,nasrullah.firmansyah@example.go.id,nasrullah.firmansyah,Nasrullah,Firmansyah
2554665905151864,Dr. Viman Wulandari,1983-11-14,dr..viman@example.go.id,dr..viman,Dr.,Viman Wulandari
4925192546291486,Olivia Permata,1966-06-11,olivia.permata@example.go.id,olivia.permata,Olivia,Permata
5281685054235733,Karta Saptono,1967-09-20,karta.saptono@example.go.id,karta.saptono,Karta,Saptono
2214188805929622,Bala Namaga,1975-08-25,bala.namaga@example.go.id,bala.namaga,Bala,Namaga
2927065379473834,Patricia Ramadan,1953-11-03,patricia.ramadan@example.go.id,patricia.ramadan,Patricia,Ramadan
7359774688623924,Safina Aryani,1951-10-31,safina.aryani@example.go.id,safina.aryani,Safina,Aryani
0758181412478261,"Hana Pertiwi, M.TI.",1959-03-30,hana.pertiwi@example.go.id,hana.pertiwi,Hana,"Pertiwi, M.TI."
3750606853615305,Sarah Saragih,1991-06-18,sarah.saragih@example.go.id,sarah.saragih,Sarah,Saragih
1522047277901043,"R.A. Septi Ardianto, M.TI.",1959-01-18,r.a..septi@example.go.id,r.a..septi,R.A.,"Septi Ardianto, M.TI."
2898614341036971,Rusman Halimah,1949-01-07,rusman.halimah@example.go.id,rusman.halimah,Rusman,Halimah
1798089324609539,R.M. Wardaya Zulkarnain,1957-07-26,r.m..wardaya@example.go.id,r.m..wardaya,R.M.,Wardaya Zulkarnain
6218518888806706,"Hj. Paris Pradipta, S.H.",2004-03-25,hj..paris@example.go.id,hj..paris,Hj.,"Paris Pradipta, S.H."
5405153195205852,Gatra Kuswandari,1972-06-29,gatra.kuswandari@example.go.id,gatra.kuswandari,Gatra,Kuswandari
7722170430305486,Umi Mayasari,1963-08-29,umi.mayasari@example.go.id,umi.mayasari,Umi,Mayasari
8740345054156676,"Puti Jelita Mustofa, S.Kom",1991-08-06,puti.jelita@example.go.id,puti.jelita,Puti,"Jelita Mustofa, S.Kom"
5277584161692845,"Nilam Manullang, M.TI.",1973-04-16,nilam.manullang@example.go.id,nilam.manullang,Nilam,"Manullang, M.TI."
1154479627570596,"H. Cemplunk Sihombing, S.Pt",1998-09-04,h..cemplunk@example.go.id,h..cemplunk,H.,"Cemplunk Sihombing, S.Pt"
4016582029702135,Maida Palastri,1975-06-03,maida.palastri@example.go.id,maida.palastri,Maida,Palastri
5690927557192856,Limar Halim,1965-09-24,limar.halim@example.go.id,limar.halim,Limar,Halim
5431027868144739,Paiman Novitasari,1982-12-28,paiman.novitasari@example.go.id,paiman.novitasari,Paiman,Novitasari
4731217271551884,"Hendra Maryadi, S.Ked",2000-08-24,hendra.maryadi@example.go.id,hendra.maryadi,Hendra,"Maryadi, S.Ked"
4225831323705895,"Drs. Warta Laksmiwati, S.I.Kom",2004-03-26,drs..warta@example.go.id,drs..warta,Drs.,"Warta Laksmiwati, S.I.Kom"
7829114678669125,R. Karen Astuti,1954-03-18,r..karen@example.go.id,r..karen,R.,Karen Astuti
1778528922680182,R. Adinata Yolanda,1987-04-09,r..adinata@example.go.id,r..adinata,R.,Adinata Yolanda
4225358414384249,Padmi Yuliarti,1985-03-13,padmi.yuliarti@example.go.id,padmi.yuliarti,Padmi,Yuliarti
8182992299590010,Cinthia Mustofa,1945-12-28,cinthia.mustofa@example.go.id,cinthia.mustofa,Cinthia,Mustofa
9439690784473647,Zelda Habibi,1982-09-13,zelda.habibi@example.go.id,zelda.habibi,Zelda,Habibi
1027677359255562,Yoga Pranowo,1952-11-03,yoga.pranowo@example.go.id,yoga.pranowo,Yoga,Pranowo
5881537147321046,Danuja Sitorus,1949-12-26,danuja.sitorus@example.go.id,danuja.sitorus,Danuja,Sitorus
9632595327877470,"Jumari Siregar, S.Pt",1949-05-28,jumari.siregar@example.go.id,jumari.siregar,Jumari,"Siregar, S.Pt"
1687339500479748,"Lalita Rahmawati, S.Kom",1964-07-28,lalita.rahmawati@example.go.id,lalita.rahmawati,Lalita,"Rahmawati, S.Kom"
0162456506098358,Kardi Yuniar,1982-05-28,kardi.yuniar@example.go.id,kardi.yuniar,Kardi,Yuniar
4168784991216558,"Kasiyah Firmansyah, S.Gz",1956-05-22,kasiyah.firmansyah@example.go.id,kasiyah.firmansyah,Kasiyah,"Firmansyah, S.Gz"
5239868000257872,"Ganjaran Hassanah, S.Kom",2006-10-31,ganjaran.hassanah@example.go.id,ganjaran.hassanah,Ganjaran,"Hassanah, S.Kom"
9825952694958887,"Kajen Najmudin, S.IP",1975-08-03,kajen.najmudin@example.go.id,kajen.najmudin,Kajen,"Najmudin, S.IP"
9470551694097499,"R. Kuncara Prabowo, S.I.Kom",1956-04-26,r..kuncara@example.go.id,r..kuncara,R.,"Kuncara Prabowo, S.I.Kom"
3097289623091307,Karja Adriansyah,2001-02-03,karja.adriansyah@example.go.id,karja.adriansyah,Karja,Adriansyah
5626368970283857,Zahra Sitorus,1953-05-13,zahra.sitorus@example.go.id,zahra.sitorus,Zahra,Sitorus
8652785854973348,"Dr. Ulya Sinaga, S.Psi",1977-01-10,dr..ulya@example.go.id,dr..ulya,Dr.,"Ulya Sinaga, S.Psi"
4344375758441986,"Genta Napitupulu, S.H.",1974-12-07,genta.napitupulu@example.go.id,genta.napitupulu,Genta,"Napitupulu, S.H."
6524041574733848,"Sutan Teguh Saptono, S.Kom",1989-01-04,sutan.teguh@example.go.id,sutan.teguh,Sutan,"Teguh Saptono, S.Kom"
4219933083301657,"Heryanto Uwais, M.Ak",1969-03-19,heryanto.uwais@example.go.id,heryanto.uwais,Heryanto,"Uwais, M.Ak"
1208267734540193,Ilsa Siregar,1962-04-29,ilsa.siregar@example.go.id,ilsa.siregar,Ilsa,Siregar
8026206724004991,Puspa Wasita,1949-09-02,puspa.wasita@example.go.id,puspa.wasita,Puspa,Wasita
5478872874315274,Violet Tarihoran,1983-12-24,violet.tarihoran@example.go.id,violet.tarihoran,Violet,Tarihoran
2054932966851612,"Dt. Cakrawala Uwais, M.M.",1955-03-23,dt..cakrawala@example.go.id,dt..cakrawala,Dt.,"Cakrawala Uwais, M.M."
2753046374549904,Usman Nuraini,2007-01-06,usman.nuraini@example.go.id,usman.nuraini,Usman,Nuraini
5301742684145933,"Nadine Hassanah, S.E.",1964-01-27,nadine.hassanah@example.go.id,nadine.hassanah,Nadine,"Hassanah, S.E."
2727956878339187,Daruna Narpati,1947-12-23,daruna.narpati@example.go.id,daruna.narpati,Daruna,Narpati
8519108839822587,Karman Waluyo,1968-12-26,karman.waluyo@example.go.id,karman.waluyo,Karman,Waluyo
1397187072867908,"dr. Agus Januar, S.IP",1968-01-15,dr..agus@example.go.id,dr..agus,dr.,"Agus Januar, S.IP"
7406403910651801,"Ian Nugroho, S.Sos",1999-03-26,ian.nugroho@example.go.id,ian.nugroho,Ian,"Nugroho, S.Sos"
7046226567661825,"Tgk. Caturangga Laksita, S.E.",1967-01-15,tgk..caturangga@example.go.id,tgk..caturangga,Tgk.,"Caturangga Laksita, S.E."
1286823004786863,Pia Halim,1953-09-22,pia.halim@example.go.id,pia.halim,Pia,Halim
3752431069033119,"R. Ghaliyati Gunawan, M.Pd",2008-12-03,r..ghaliyati@example.go.id,r..ghaliyati,R.,"Ghaliyati Gunawan, M.Pd"
0790306738302843,Marsudi Sihotang,1961-11-10,marsudi.sihotang@example.go.id,marsudi.sihotang,Marsudi,Sihotang
9599534283644089,Atmaja Firmansyah,1962-02-02,atmaja.firmansyah@example.go.id,atmaja.firmansyah,Atmaja,Firmansyah
2687056856624628,Pangeran Megantara,1979-02-04,pangeran.megantara@example.go.id,pangeran.megantara,Pangeran,Megantara
7334270866882634,dr. Lili Gunawan,1984-07-08,dr..lili@example.go.id,dr..lili,dr.,Lili Gunawan
3517518304699013,Kania Marbun,1996-02-22,kania.marbun@example.go.id,kania.marbun,Kania,Marbun
9837354033173936,Jati Latupono,1975-11-18,jati.latupono@example.go.id,jati.latupono,Jati,Latupono
3854678544587717,Yunita Kuswoyo,1975-02-25,yunita.kuswoyo@example.go.id,yunita.kuswoyo,Yunita,Kuswoyo
5355609320489964,Yuliana Sitorus,1981-05-26,yuliana.sitorus@example.go.id,yuliana.sitorus,Yuliana,Sitorus
2353693785477725,"R.M. Paiman Anggriawan, M.Ak",1989-09-06,r.m..paiman@example.go.id,r.m..paiman,R.M.,"Paiman Anggriawan, M.Ak"
2287280801006231,"Eluh Nasyiah, S.IP",1970-10-28,eluh.nasyiah@example.go.id,eluh.nasyiah,Eluh,"Nasyiah, S.IP"
2038750997700886,Irma Santoso,1959-01-04,irma.santoso@example.go.id,irma.santoso,Irma,Santoso
0084840862118233,Daliono Rahimah,1977-06-13,daliono.rahimah@example.go.id,daliono.rahimah,Daliono,Rahimah
9845461567933410,Farhunnisa Suartini,2006-08-31,farhunnisa.suartini@example.go.id,farhunnisa.suartini,Farhunnisa,Suartini
1666870021765918,Ratna Mayasari,1949-08-28,ratna.mayasari@example.go.id,ratna.mayasari,Ratna,Mayasari
0339740148902503,Sutan Soleh Farida,1987-10-19,sutan.soleh@example.go.id,sutan.soleh,Sutan,Soleh Farida
9261429396856218,Olivia Kurniawan,1950-03-12,olivia.kurniawan@example.go.id,olivia.kurniawan,Olivia,Kurniawan
5016315999650477,Drs. Nasim Padmasari,1974-10-30,drs..nasim@example.go.id,drs..nasim,Drs.,Nasim Padmasari
3586629619431142,Asirwada Wijaya,1967-07-21,asirwada.wijaya@example.go.id,asirwada.wijaya,Asirwada,Wijaya
6265511047541212,"dr. Nyoman Waskita, S.IP",1980-05-20,dr..nyoman@example.go.id,dr..nyoman,dr.,"Nyoman Waskita, S.IP"
6788861015819956,"Paramita Prasetyo, M.M.",1982-07-07,paramita.prasetyo@example.go.id,paramita.prasetyo,Paramita,"Prasetyo, M.M."
0466183982622444,"T. Caturangga Farida, S.E.",1983-03-03,t..caturangga@example.go.id,t..caturangga,T.,"Caturangga Farida, S.E."
7212646471543799,Surya Sitompul,1949-09-27,surya.sitompul@example.go.id,surya.sitompul,Surya,Sitompul
3712406596575692,KH. Slamet Narpati,1990-04-02,kh..slamet@example.go.id,kh..slamet,KH.,Slamet Narpati
4593752654793564,Ir. Nova Laksita,1960-04-25,ir..nova@example.go.id,ir..nova,Ir.,Nova Laksita
6519398280737416,Lidya Yuniar,1983-07-17,lidya.yuniar@example.go.id,lidya.yuniar,Lidya,Yuniar
7243426617979688,Rini Prasetya,1947-04-03,rini.prasetya@example.go.id,rini.prasetya,Rini,Prasetya
6805891135290965,Lanjar Tamba,2004-05-04,lanjar.tamba@example.go.id,lanjar.tamba,Lanjar,Tamba
6101438889937567,"Ciaobella Wibisono, M.TI.",1978-08-02,ciaobella.wibisono@example.go.id,ciaobella.wibisono,Ciaobella,"Wibisono, M.TI."
9825071461125457,drg. Zizi Adriansyah,1969-07-23,drg..zizi@example.go.id,drg..zizi,drg.,Zizi Adriansyah
3875717751401051,Syahrini Pratama,1976-04-06,syahrini.pratama@example.go.id,syahrini.pratama,Syahrini,Pratama
2382825867362266,"R. Surya Permadi, S.E.",2005-08-17,r..surya@example.go.id,r..surya,R.,"Surya Permadi, S.E."
0937966033419182,Drs. Zelda Sudiati,1996-02-29,drs..zelda@example.go.id,drs..zelda,Drs.,Zelda Sudiati
5537147859696915,Najib Dabukke,1997-06-05,najib.dabukke@example.go.id,najib.dabukke,Najib,Dabukke
5792499125134125,"Danang Suwarno, M.Farm",1947-08-16,danang.suwarno@example.go.id,danang.suwarno,Danang,"Suwarno, M.Farm"
2866929662782827,Cemplunk Maulana,1979-02-14,cemplunk.maulana@example.go.id,cemplunk.maulana,Cemplunk,Maulana
4225790507236887,Ilsa Siregar,1997-07-24,ilsa.siregar@example.go.id,ilsa.siregar,Ilsa,Siregar
6767721903404384,Asman Saefullah,1946-01-29,asman.saefullah@example.go.id,asman.saefullah,Asman,Saefullah
2797881914858078,"Ir. Salimah Handayani, M.Pd",1948-03-24,ir..salimah@example.go.id,ir..salimah,Ir.,"Salimah Handayani, M.Pd"
3613407451713395,Drs. Zelaya Prakasa,1982-09-08,drs..zelaya@example.go.id,drs..zelaya,Drs.,Zelaya Prakasa
9629233095849825,"Vivi Dabukke, S.Gz",1950-08-10,vivi.dabukke@example.go.id,vivi.dabukke,Vivi,"Dabukke, S.Gz"
4494812604223253,drg. Malik Hakim,1963-03-03,drg..malik@example.go.id,drg..malik,drg.,Malik Hakim
6729466711684577,"dr. Vicky Habibi, S.E.",1976-07-30,dr..vicky@example.go.id,dr..vicky,dr.,"Vicky Habibi, S.E."
5901751863637454,Ganep Wahyudin,1991-09-18,ganep.wahyudin@example.go.id,ganep.wahyudin,Ganep,Wahyudin
5892975001701277,Perkasa Hutagalung,1957-08-07,perkasa.hutagalung@example.go.id,perkasa.hutagalung,Perkasa,Hutagalung
0632424154152064,"Puji Prakasa, S.Gz",1948-08-16,puji.prakasa@example.go.id,puji.prakasa,Puji,"Prakasa, S.Gz"
3611037129387005,Hairyanto Setiawan,1987-07-14,hairyanto.setiawan@example.go.id,hairyanto.setiawan,Hairyanto,Setiawan
1627136111554262,"Padma Halimah, S.Psi",1989-06-20,padma.halimah@example.go.id,padma.halimah,Padma,"Halimah, S.Psi"
2189092753269731,Sabar Wahyuni,1979-06-05,sabar.wahyuni@example.go.id,sabar.wahyuni,Sabar,Wahyuni
1219656523413899,"R.M. Praba Budiman, S.T.",1983-09-10,r.m..praba@example.go.id,r.m..praba,R.M.,"Praba Budiman, S.T."
9404389836403761,Ophelia Usada,1982-09-28,ophelia.usada@example.go.id,ophelia.usada,Ophelia,Usada
3791805526965827,"T. Hamzah Pratama, S.Gz",1947-06-26,t..hamzah@example.go.id,t..hamzah,T.,"Hamzah Pratama, S.Gz"
1091043006848666,Erik Hakim,2001-02-09,erik.hakim@example.go.id,erik.hakim,Erik,Hakim
1889241418328569,Jumari Utami,1980-10-05,jumari.utami@example.go.id,jumari.utami,Jumari,Utami
1463031617990421,Kania Damanik,1998-04-23,kania.damanik@example.go.id,kania.damanik,Kania,Damanik
0202758842524105,Rahayu Sudiati,1960-05-23,rahayu.sudiati@example.go.id,rahayu.sudiati,Rahayu,Sudiati
6481491778507925,Yulia Rajasa,1954-12-10,yulia.rajasa@example.go.id,yulia.rajasa,Yulia,Rajasa
2419138000307562,"R.M. Dagel Farida, S.Ked",1998-10-27,r.m..dagel@example.go.id,r.m..dagel,R.M.,"Dagel Farida, S.Ked"
2086353654195180,Daniswara Budiyanto,1969-03-26,daniswara.budiyanto@example.go.id,daniswara.budiyanto,Daniswara,Budiyanto
2380617445187053,Cakrawala Santoso,1995-04-05,cakrawala.santoso@example.go.id,cakrawala.santoso,Cakrawala,Santoso
4949375973832060,"Anastasia Sinaga, S.Kom",1985-01-08,anastasia.sinaga@example.go.id,anastasia.sinaga,Anastasia,"Sinaga, S.Kom"
3850506413836702,Irwan Safitri,1952-01-10,irwan.safitri@example.go.id,irwan.safitri,Irwan,Safitri
4103865719182619,Karja Prakasa,1999-09-14,karja.prakasa@example.go.id,karja.prakasa,Karja,Prakasa
9062344565574313,Ajimat Thamrin,1964-08-22,ajimat.thamrin@example.go.id,ajimat.thamrin,Ajimat,Thamrin
2912127756185374,"T. Jumari Nugroho, S.Pd",1948-11-15,t..jumari@example.go.id,t..jumari,T.,"Jumari Nugroho, S.Pd"
